transaction_id,risk_score,rank,feature,feature_value,shap_value
IBM_LI_SMALL_334994,0.8786534062572209,1,sender_unique_receivers_24h,856.0,1.335681683767472
IBM_LI_SMALL_334994,0.8786534062572209,2,payment_format,Cash,1.0105715643518658
IBM_LI_SMALL_334994,0.8786534062572209,3,cross_bank,1.0,0.6019380660535034
IBM_LI_SMALL_334994,0.8786534062572209,4,sender_tx_count_1h,1808.0,0.39609210182501825
IBM_LI_SMALL_334994,0.8786534062572209,5,sender_tx_count_7d,1808.0,0.33363234533172587
IBM_LI_SMALL_291660,0.8731509799019781,1,sender_unique_receivers_24h,159.0,1.262240289777448
IBM_LI_SMALL_291660,0.8731509799019781,2,cross_bank,1.0,0.6959775108171957
IBM_LI_SMALL_291660,0.8731509799019781,3,sender_tx_count_7d,317.0,0.6575956525144485
IBM_LI_SMALL_291660,0.8731509799019781,4,payment_format,Cheque,0.5489400519306415
IBM_LI_SMALL_291660,0.8731509799019781,5,sender_tx_count_1h,317.0,0.44217629740804343
IBM_LI_SMALL_329001,0.8705828322503313,1,sender_unique_receivers_24h,365.0,1.251277508380153
IBM_LI_SMALL_329001,0.8705828322503313,2,payment_format,Cheque,0.6612410265682276
IBM_LI_SMALL_329001,0.8705828322503313,3,cross_bank,1.0,0.6141421450905856
IBM_LI_SMALL_329001,0.8705828322503313,4,sender_tx_count_1h,2429.0,0.48932884624522255
IBM_LI_SMALL_329001,0.8705828322503313,5,sender_tx_count_7d,2429.0,0.3825042342377559
IBM_LI_SMALL_290716,0.8703990139153295,1,sender_unique_receivers_24h,159.0,1.3229331081597144
IBM_LI_SMALL_290716,0.8703990139153295,2,sender_tx_count_7d,310.0,0.7170437073575987
IBM_LI_SMALL_290716,0.8703990139153295,3,cross_bank,1.0,0.662200977091143
IBM_LI_SMALL_290716,0.8703990139153295,4,payment_format,Cheque,0.5882563408086692
IBM_LI_SMALL_290716,0.8703990139153295,5,sender_tx_count_1h,310.0,0.44217629740804343
IBM_LI_SMALL_287912,0.8678532448101246,1,sender_unique_receivers_24h,159.0,1.262240289777448
IBM_LI_SMALL_287912,0.8678532448101246,2,sender_tx_count_7d,317.0,0.7170437073575987
IBM_LI_SMALL_287912,0.8678532448101246,3,cross_bank,1.0,0.662200977091143
IBM_LI_SMALL_287912,0.8678532448101246,4,payment_format,Credit Card,0.6274444295059542
IBM_LI_SMALL_287912,0.8678532448101246,5,sender_unique_receivers_7d,159.0,0.41922042317471225
IBM_LI_SMALL_286007,0.8667917802281487,1,sender_unique_receivers_24h,159.0,1.3229331081597144
IBM_LI_SMALL_286007,0.8667917802281487,2,sender_tx_count_7d,317.0,0.7170437073575987
IBM_LI_SMALL_286007,0.8667917802281487,3,cross_bank,1.0,0.662200977091143
IBM_LI_SMALL_286007,0.8667917802281487,4,payment_format,Credit Card,0.5819626843637824
IBM_LI_SMALL_286007,0.8667917802281487,5,sender_unique_receivers_7d,159.0,0.41922042317471225
IBM_LI_SMALL_327491,0.8647045943729296,1,sender_unique_receivers_24h,446.0,1.251277508380153
IBM_LI_SMALL_327491,0.8647045943729296,2,cross_bank,1.0,0.6141421450905856
IBM_LI_SMALL_327491,0.8647045943729296,3,payment_format,Cheque,0.5764429925480282
IBM_LI_SMALL_327491,0.8647045943729296,4,sender_tx_count_1h,2533.0,0.48932884624522255
IBM_LI_SMALL_327491,0.8647045943729296,5,sender_unique_receivers_7d,446.0,0.41922042317471225
IBM_LI_SMALL_329476,0.8643921790437463,1,sender_unique_receivers_24h,446.0,1.1905846899978862
IBM_LI_SMALL_329476,0.8643921790437463,2,payment_format,Credit Card,0.7004296862209491
IBM_LI_SMALL_329476,0.8643921790437463,3,cross_bank,1.0,0.6429610075081278
IBM_LI_SMALL_329476,0.8643921790437463,4,sender_tx_count_1h,2533.0,0.4365232340455305
IBM_LI_SMALL_329476,0.8643921790437463,5,sender_unique_receivers_7d,446.0,0.41922042317471225
IBM_LI_SMALL_330741,0.8620796179497906,1,sender_unique_receivers_24h,562.0,1.1905846899978862
IBM_LI_SMALL_330741,0.8620796179497906,2,cross_bank,1.0,0.6429610075081278
IBM_LI_SMALL_330741,0.8620796179497906,3,payment_format,Cheque,0.6219253086456367
IBM_LI_SMALL_330741,0.8620796179497906,4,sender_tx_count_1h,2818.0,0.48932884624522255
IBM_LI_SMALL_330741,0.8620796179497906,5,sender_unique_receivers_7d,562.0,0.41922042317471225
IBM_LI_SMALL_273535,0.8616702934377183,1,sender_unique_receivers_24h,67.0,0.8913378731546393
IBM_LI_SMALL_273535,0.8616702934377183,2,cross_bank,1.0,0.8277249366061058
IBM_LI_SMALL_273535,0.8616702934377183,3,payment_format,Cheque,0.642952255430882
IBM_LI_SMALL_273535,0.8616702934377183,4,sender_unique_receivers_1h,67.0,0.5324577759106235
IBM_LI_SMALL_273535,0.8616702934377183,5,sender_tx_count_7d,136.0,0.525086446514656
IBM_LI_SMALL_340376,0.8614634365903544,1,sender_unique_receivers_24h,132.0,1.3229331081597144
IBM_LI_SMALL_340376,0.8614634365903544,2,sender_tx_count_7d,272.0,0.7170437073575987
IBM_LI_SMALL_340376,0.8614634365903544,3,cross_bank,1.0,0.6333821146736008
IBM_LI_SMALL_340376,0.8614634365903544,4,payment_format,Cheque,0.5034577358330332
IBM_LI_SMALL_340376,0.8614634365903544,5,sender_tx_count_1h,272.0,0.44217629740804343
IBM_LI_SMALL_291282,0.857663492662961,1,sender_unique_receivers_24h,160.0,1.3229331081597144
IBM_LI_SMALL_291282,0.857663492662961,2,sender_tx_count_7d,332.0,0.7170437073575987
IBM_LI_SMALL_291282,0.857663492662961,3,cross_bank,1.0,0.662200977091143
IBM_LI_SMALL_291282,0.857663492662961,4,payment_format,Cheque,0.5034583067884697
IBM_LI_SMALL_291282,0.857663492662961,5,sender_tx_count_1h,332.0,0.44217629740804343
IBM_LI_SMALL_340314,0.857663492662961,1,sender_unique_receivers_24h,136.0,1.3229331081597144
IBM_LI_SMALL_340314,0.857663492662961,2,sender_tx_count_7d,281.0,0.7170437073575987
IBM_LI_SMALL_340314,0.857663492662961,3,cross_bank,1.0,0.662200977091143
IBM_LI_SMALL_340314,0.857663492662961,4,payment_format,Cheque,0.5034583067884697
IBM_LI_SMALL_340314,0.857663492662961,5,sender_tx_count_1h,281.0,0.44217629740804343
IBM_LI_SMALL_334770,0.8537183831776705,1,sender_unique_receivers_24h,828.0,1.335681683767472
IBM_LI_SMALL_334770,0.8537183831776705,2,payment_format,Cash,1.0105721353073023
IBM_LI_SMALL_334770,0.8537183831776705,3,cross_bank,1.0,0.6681240072468753
IBM_LI_SMALL_334770,0.8537183831776705,4,sender_tx_count_7d,1702.0,0.40948244869222306
IBM_LI_SMALL_334770,0.8537183831776705,5,sender_tx_count_1h,1702.0,0.39609210182501825
IBM_LI_SMALL_335617,0.826920917240159,1,sender_unique_receivers_24h,836.0,1.335681683767472
IBM_LI_SMALL_335617,0.826920917240159,2,payment_format,Cash,1.0105721353073023
IBM_LI_SMALL_335617,0.826920917240159,3,cross_bank,1.0,0.6307569284710456
IBM_LI_SMALL_335617,0.826920917240159,4,sender_tx_count_1h,1718.0,0.39609210182501825
IBM_LI_SMALL_335617,0.826920917240159,5,sender_tx_count_7d,1718.0,0.33363234533172587
IBM_LI_SMALL_128105,0.8230386142888855,1,sender_unique_receivers_24h,689.0,1.1219958632966052
IBM_LI_SMALL_128105,0.8230386142888855,2,cross_bank,1.0,0.639305144829333
IBM_LI_SMALL_128105,0.8230386142888855,3,payment_format,Credit Card,0.5245433435383134
IBM_LI_SMALL_128105,0.8230386142888855,4,sender_tx_count_7d,1395.0,0.4758656808652617
IBM_LI_SMALL_128105,0.8230386142888855,5,sender_tx_count_1h,1395.0,0.4355678100318622
IBM_LI_SMALL_169828,0.8217095245189202,1,sender_unique_receivers_24h,689.0,1.1826886816788718
IBM_LI_SMALL_169828,0.8217095245189202,2,cross_bank,1.0,0.6681240072468753
IBM_LI_SMALL_169828,0.8217095245189202,3,sender_tx_count_1h,1395.0,0.48837342223155417
IBM_LI_SMALL_169828,0.8217095245189202,4,payment_format,Cheque,0.48535582579646497
IBM_LI_SMALL_169828,0.8217095245189202,5,sender_tx_count_7d,1395.0,0.4758656808652617
IBM_LI_SMALL_336702,0.8201675547717922,1,sender_unique_receivers_24h,820.0,1.1219958632966052
IBM_LI_SMALL_336702,0.8201675547717922,2,cross_bank,1.0,0.639305144829333
IBM_LI_SMALL_336702,0.8201675547717922,3,sender_tx_count_1h,1679.0,0.48837342223155417
IBM_LI_SMALL_336702,0.8201675547717922,4,sender_tx_count_7d,1679.0,0.4758656808652617
IBM_LI_SMALL_336702,0.8201675547717922,5,payment_format,Cheque,0.44603896596300086
IBM_LI_SMALL_336118,0.8184068800134043,1,sender_unique_receivers_24h,800.0,1.1219958632966052
IBM_LI_SMALL_336118,0.8184068800134043,2,cross_bank,1.0,0.6681240072468753
IBM_LI_SMALL_336118,0.8184068800134043,3,payment_format,Credit Card,0.52454391449375
IBM_LI_SMALL_336118,0.8184068800134043,4,sender_tx_count_7d,1631.0,0.4758656808652617
IBM_LI_SMALL_336118,0.8184068800134043,5,sender_tx_count_1h,1631.0,0.4355678100318622
IBM_LI_SMALL_334697,0.8170319751020764,1,sender_unique_receivers_24h,785.0,1.1826886816788718
IBM_LI_SMALL_334697,0.8170319751020764,2,cross_bank,1.0,0.6681240072468753
IBM_LI_SMALL_334697,0.8170319751020764,3,payment_format,Credit Card,0.47906216935157814
IBM_LI_SMALL_334697,0.8170319751020764,4,sender_tx_count_7d,1605.0,0.4758656808652617
IBM_LI_SMALL_334697,0.8170319751020764,5,sender_tx_count_1h,1605.0,0.4355678100318622
